pr_number,merged_at,author,title
31741,2024-12-12T19:39:25Z,sebmarkbage,[Flight Parcel] Align with more recent changes
31721,2024-12-12T19:11:24Z,jackpope,Fix canary version strings
31676,2024-12-12T19:10:46Z,jackpope,Bump next prerelease version numbers
31729,2024-12-12T19:03:19Z,sebmarkbage,[Flight] Log Server Component into Performance Track
31725,2024-12-12T03:58:51Z,sebmarkbage,Implement react-server-dom-parcel
31661,2024-12-11T17:00:26Z,noahlemen,Make enableOwnerStacks dynamic
31457,2024-12-11T16:55:11Z,hoxyq,Remove comment syntax from ReactNativeTypes
31716,2024-12-11T01:46:19Z,sebmarkbage,[Flight] Track Timing Information
31720,2024-12-10T21:46:33Z,eps1lon,react-hooks/rules-of-hooks: Improve support for `do/while` loops
31724,2024-12-10T19:51:40Z,gnoff, [Flight] rename `prerender` to `unstable_prerender` and include in stable channel
31715,2024-12-10T16:59:51Z,sebmarkbage,[Flight] Don't call onError/onPostpone when halting and unify error branches
31714,2024-12-10T00:47:43Z,sebmarkbage,Update ReactDebugInfo types to declare timing info separately
31713,2024-12-09T22:20:47Z,sebmarkbage,[Flight] Extract special cases for Server Component return value position
31710,2024-12-09T20:06:44Z,mvitousek,[compiler] Support for non-declatation for in/of iterators
31709,2024-12-09T20:06:37Z,mvitousek,[compiler] Support for context variable loop iterators
31683,2024-12-06T15:55:53Z,eps1lon,Fix headings in React 19 CHANGELOG
31685,2024-12-06T15:12:38Z,jackpope,docs: use diff codeblock for `useReducer` typings change
31675,2024-12-05T18:46:52Z,rickhanlonii,Add changelog for 19.0.0
31667,2024-12-04T15:58:43Z,gnoff,Register Suspense retry handlers in commit phase
31620,2024-12-03T21:13:36Z,gnoff,Client render dehydrated Suspense boundaries on document load
31666,2024-12-03T18:54:08Z,jbrown215,[compiler] Empty dep arrays for globals/module-scoped values/imports
31665,2024-12-03T16:46:09Z,mofeiZ,"Revert ""Replace deprecated dependency in `eslint-plugin-react-compiler`"""
31657,2024-12-03T12:42:53Z,jbrown215,[compiler] Support default imports for autodep config
31654,2024-12-02T22:42:58Z,mofeiZ,[compiler] Add meta internal option for useMemoCache import
31005,2024-12-02T15:02:31Z,rickhanlonii,s/server action/server function
31629,2024-11-25T04:32:11Z,poteto,Replace deprecated dependency in `eslint-plugin-react-compiler`
31617,2024-11-22T21:13:42Z,poteto,[crud] Only export uRC when flag is enabled
31619,2024-11-22T20:59:59Z,josephsavona,[compiler] Prune all unused array destructure items during DCE
31615,2024-11-22T18:04:06Z,sebmarkbage,Mark all lanes in order on every new render
31386,2024-11-22T17:15:14Z,mofeiZ,[compiler] First cut at dep inference
31611,2024-11-22T00:36:38Z,sebmarkbage,Mark ping time as update
31610,2024-11-21T22:16:54Z,sebmarkbage,Fix Logging of Immediately Resolved Promises
31599,2024-11-20T21:54:41Z,poteto,[crud] Fix deps comparison bug
31590,2024-11-19T22:25:11Z,poteto,[crud] Enable on RTR FB builds
31588,2024-11-19T22:13:01Z,poteto,[crud] Fix copy paste typo
31563,2024-11-19T18:56:22Z,sebmarkbage,Log yielded time in the Component Track
31552,2024-11-19T18:42:44Z,sebmarkbage,Track suspended time when the render doesn't commit because it suspended
31585,2024-11-19T15:52:38Z,poteto,[compiler] Update react deps
31119,2024-11-19T09:36:30Z,eps1lon,fix[eslint-plugin-react-hooks]: Fix error when callback argument is an identifier with an `as` expression
31573,2024-11-19T00:18:09Z,poteto,[playground] Fix broken tests
31572,2024-11-19T00:17:58Z,poteto,[playground] Fix incorrect ci path and change reporter
